State,County,Date,Covid_Cummulative_Numbers
California,Alameda,2020-01-31,0
California,Alpine,2020-01-31,0
California,Amador,2020-01-31,0
California,Butte,2020-01-31,0
California,Calaveras,2020-01-31,0
California,Colusa,2020-01-31,0
California,Contra Costa,2020-01-31,0
California,Del Norte,2020-01-31,0
California,El Dorado,2020-01-31,0
California,Fresno,2020-01-31,0
California,Glenn,2020-01-31,0
California,Humboldt,2020-01-31,0
California,Imperial,2020-01-31,0
California,Inyo,2020-01-31,0
California,Kern,2020-01-31,0
California,Kings,2020-01-31,0
California,Lake,2020-01-31,0
California,Lassen,2020-01-31,0
California,Los Angeles,2020-01-31,1
California,Madera,2020-01-31,0
California,Marin,2020-01-31,0
California,Mariposa,2020-01-31,0
California,Mendocino,2020-01-31,0
California,Merced,2020-01-31,0
California,Modoc,2020-01-31,0
California,Mono,2020-01-31,0
California,Monterey,2020-01-31,0
California,Napa,2020-01-31,0
California,Nevada,2020-01-31,0
California,Orange,2020-01-31,1
California,Out of CA,2020-01-31,0
California,Placer,2020-01-31,0
California,Plumas,2020-01-31,0
California,Riverside,2020-01-31,0
California,Sacramento,2020-01-31,0
California,San Benito,2020-01-31,0
California,San Bernardino,2020-01-31,0
California,San Diego,2020-01-31,0
California,San Francisco,2020-01-31,0
California,San Joaquin,2020-01-31,0
California,San Luis Obispo,2020-01-31,0
California,San Mateo,2020-01-31,0
California,Santa Barbara,2020-01-31,0
California,Santa Clara,2020-01-31,1
California,Santa Cruz,2020-01-31,0
California,Shasta,2020-01-31,0
California,Sierra,2020-01-31,0
California,Siskiyou,2020-01-31,0
California,Solano,2020-01-31,0
California,Sonoma,2020-01-31,0
California,Stanislaus,2020-01-31,0
California,Sutter,2020-01-31,0
California,Tehama,2020-01-31,0
California,Trinity,2020-01-31,0
California,Tulare,2020-01-31,0
California,Tuolumne,2020-01-31,0
California,Unassigned,2020-01-31,0
California,Ventura,2020-01-31,0
California,Yolo,2020-01-31,0
California,Yuba,2020-01-31,0
Florida,Alachua,2020-01-31,0
Florida,Baker,2020-01-31,0
Florida,Bay,2020-01-31,0
Florida,Bradford,2020-01-31,0
Florida,Brevard,2020-01-31,0
Florida,Broward,2020-01-31,0
Florida,Calhoun,2020-01-31,0
Florida,Charlotte,2020-01-31,0
Florida,Citrus,2020-01-31,0
Florida,Clay,2020-01-31,0
Florida,Collier,2020-01-31,0
Florida,Columbia,2020-01-31,0
Florida,DeSoto,2020-01-31,0
Florida,Dixie,2020-01-31,0
Florida,Duval,2020-01-31,0
Florida,Escambia,2020-01-31,0
Florida,Flagler,2020-01-31,0
Florida,Franklin,2020-01-31,0
Florida,Gadsden,2020-01-31,0
Florida,Gilchrist,2020-01-31,0
Florida,Glades,2020-01-31,0
Florida,Gulf,2020-01-31,0
Florida,Hamilton,2020-01-31,0
Florida,Hardee,2020-01-31,0
Florida,Hendry,2020-01-31,0
Florida,Hernando,2020-01-31,0
Florida,Highlands,2020-01-31,0
Florida,Hillsborough,2020-01-31,0
Florida,Holmes,2020-01-31,0
Florida,Indian River,2020-01-31,0
Florida,Jackson,2020-01-31,0
Florida,Jefferson,2020-01-31,0
Florida,Lafayette,2020-01-31,0
Florida,Lake,2020-01-31,0
Florida,Lee,2020-01-31,0
Florida,Leon,2020-01-31,0
Florida,Levy,2020-01-31,0
Florida,Liberty,2020-01-31,0
Florida,Madison,2020-01-31,0
Florida,Manatee,2020-01-31,0
Florida,Marion,2020-01-31,0
Florida,Martin,2020-01-31,0
Florida,Miami-Dade,2020-01-31,0
Florida,Monroe,2020-01-31,0
Florida,Nassau,2020-01-31,0
Florida,Okaloosa,2020-01-31,0
Florida,Okeechobee,2020-01-31,0
Florida,Orange,2020-01-31,0
Florida,Osceola,2020-01-31,0
Florida,Out of FL,2020-01-31,0
Florida,Palm Beach,2020-01-31,0
Florida,Pasco,2020-01-31,0
Florida,Pinellas,2020-01-31,0
Florida,Polk,2020-01-31,0
Florida,Putnam,2020-01-31,0
Florida,Santa Rosa,2020-01-31,0
Florida,Sarasota,2020-01-31,0
Florida,Seminole,2020-01-31,0
Florida,St. Johns,2020-01-31,0
Florida,St. Lucie,2020-01-31,0
Florida,Sumter,2020-01-31,0
Florida,Suwannee,2020-01-31,0
Florida,Taylor,2020-01-31,0
Florida,Unassigned,2020-01-31,0
Florida,Union,2020-01-31,0
Florida,Volusia,2020-01-31,0
Florida,Wakulla,2020-01-31,0
Florida,Walton,2020-01-31,0
Florida,Washington,2020-01-31,0
California,Alameda,2020-02-29,0
California,Alpine,2020-02-29,0
California,Amador,2020-02-29,0
California,Butte,2020-02-29,0
California,Calaveras,2020-02-29,0
California,Colusa,2020-02-29,0
California,Contra Costa,2020-02-29,0
California,Del Norte,2020-02-29,0
California,El Dorado,2020-02-29,0
California,Fresno,2020-02-29,0
California,Glenn,2020-02-29,0
California,Humboldt,2020-02-29,1
California,Imperial,2020-02-29,0
California,Inyo,2020-02-29,0
California,Kern,2020-02-29,0
California,Kings,2020-02-29,0
California,Lake,2020-02-29,0
California,Lassen,2020-02-29,0
California,Los Angeles,2020-02-29,0
California,Madera,2020-02-29,0
California,Marin,2020-02-29,0
California,Mariposa,2020-02-29,0
California,Mendocino,2020-02-29,0
California,Merced,2020-02-29,0
California,Modoc,2020-02-29,0
California,Mono,2020-02-29,0
California,Monterey,2020-02-29,0
California,Napa,2020-02-29,0
California,Nevada,2020-02-29,0
California,Orange,2020-02-29,0
California,Out of CA,2020-02-29,0
California,Placer,2020-02-29,0
California,Plumas,2020-02-29,0
California,Riverside,2020-02-29,0
California,Sacramento,2020-02-29,2
California,San Benito,2020-02-29,2
California,San Bernardino,2020-02-29,0
California,San Diego,2020-02-29,2
California,San Francisco,2020-02-29,0
California,San Joaquin,2020-02-29,0
California,San Luis Obispo,2020-02-29,0
California,San Mateo,2020-02-29,0
California,Santa Barbara,2020-02-29,0
California,Santa Clara,2020-02-29,2
California,Santa Cruz,2020-02-29,0
California,Shasta,2020-02-29,0
California,Sierra,2020-02-29,0
California,Siskiyou,2020-02-29,0
California,Solano,2020-02-29,0
California,Sonoma,2020-02-29,0
California,Stanislaus,2020-02-29,0
California,Sutter,2020-02-29,0
California,Tehama,2020-02-29,0
California,Trinity,2020-02-29,0
California,Tulare,2020-02-29,0
California,Tuolumne,2020-02-29,0
California,Unassigned,2020-02-29,0
California,Ventura,2020-02-29,0
California,Yolo,2020-02-29,0
California,Yuba,2020-02-29,0
Florida,Alachua,2020-02-29,0
Florida,Baker,2020-02-29,0
Florida,Bay,2020-02-29,0
Florida,Bradford,2020-02-29,0
Florida,Brevard,2020-02-29,0
Florida,Broward,2020-02-29,0
Florida,Calhoun,2020-02-29,0
Florida,Charlotte,2020-02-29,0
Florida,Citrus,2020-02-29,0
Florida,Clay,2020-02-29,0
Florida,Collier,2020-02-29,0
Florida,Columbia,2020-02-29,0
Florida,DeSoto,2020-02-29,0
Florida,Dixie,2020-02-29,0
Florida,Duval,2020-02-29,0
Florida,Escambia,2020-02-29,0
Florida,Flagler,2020-02-29,0
Florida,Franklin,2020-02-29,0
Florida,Gadsden,2020-02-29,0
Florida,Gilchrist,2020-02-29,0
Florida,Glades,2020-02-29,0
Florida,Gulf,2020-02-29,0
Florida,Hamilton,2020-02-29,0
Florida,Hardee,2020-02-29,0
Florida,Hendry,2020-02-29,0
Florida,Hernando,2020-02-29,0
Florida,Highlands,2020-02-29,0
Florida,Hillsborough,2020-02-29,0
Florida,Holmes,2020-02-29,0
Florida,Indian River,2020-02-29,0
Florida,Jackson,2020-02-29,0
Florida,Jefferson,2020-02-29,0
Florida,Lafayette,2020-02-29,0
Florida,Lake,2020-02-29,0
Florida,Lee,2020-02-29,0
Florida,Leon,2020-02-29,0
Florida,Levy,2020-02-29,0
Florida,Liberty,2020-02-29,0
Florida,Madison,2020-02-29,0
Florida,Manatee,2020-02-29,0
Florida,Marion,2020-02-29,0
Florida,Martin,2020-02-29,0
Florida,Miami-Dade,2020-02-29,0
Florida,Monroe,2020-02-29,0
Florida,Nassau,2020-02-29,0
Florida,Okaloosa,2020-02-29,0
Florida,Okeechobee,2020-02-29,0
Florida,Orange,2020-02-29,0
Florida,Osceola,2020-02-29,0
Florida,Out of FL,2020-02-29,0
Florida,Palm Beach,2020-02-29,0
Florida,Pasco,2020-02-29,0
Florida,Pinellas,2020-02-29,0
Florida,Polk,2020-02-29,0
Florida,Putnam,2020-02-29,0
Florida,Santa Rosa,2020-02-29,0
Florida,Sarasota,2020-02-29,0
Florida,Seminole,2020-02-29,0
Florida,St. Johns,2020-02-29,0
Florida,St. Lucie,2020-02-29,0
Florida,Sumter,2020-02-29,0
Florida,Suwannee,2020-02-29,0
Florida,Taylor,2020-02-29,0
Florida,Unassigned,2020-02-29,0
Florida,Union,2020-02-29,0
Florida,Volusia,2020-02-29,0
Florida,Wakulla,2020-02-29,0
Florida,Walton,2020-02-29,0
Florida,Washington,2020-02-29,0
California,Alameda,2020-03-31,313
California,Alpine,2020-03-31,0
California,Amador,2020-03-31,2
California,Butte,2020-03-31,8
California,Calaveras,2020-03-31,3
California,Colusa,2020-03-31,1
California,Contra Costa,2020-03-31,212
California,Del Norte,2020-03-31,0
California,El Dorado,2020-03-31,15
California,Fresno,2020-03-31,53
California,Glenn,2020-03-31,2
California,Humboldt,2020-03-31,20
California,Imperial,2020-03-31,33
California,Inyo,2020-03-31,8
California,Kern,2020-03-31,83
California,Kings,2020-03-31,3
California,Lake,2020-03-31,0
California,Lassen,2020-03-31,0
California,Los Angeles,2020-03-31,3018
California,Madera,2020-03-31,21
California,Marin,2020-03-31,99
California,Mariposa,2020-03-31,0
California,Mendocino,2020-03-31,4
California,Merced,2020-03-31,10
California,Modoc,2020-03-31,0
California,Mono,2020-03-31,13
California,Monterey,2020-03-31,40
California,Napa,2020-03-31,14
California,Nevada,2020-03-31,21
California,Orange,2020-03-31,501
California,Out of CA,2020-03-31,0
California,Placer,2020-03-31,57
California,Plumas,2020-03-31,0
California,Riverside,2020-03-31,371
California,Sacramento,2020-03-31,222
California,San Benito,2020-03-31,15
California,San Bernardino,2020-03-31,125
California,San Diego,2020-03-31,601
California,San Francisco,2020-03-31,397
California,San Joaquin,2020-03-31,136
California,San Luis Obispo,2020-03-31,80
California,San Mateo,2020-03-31,309
California,Santa Barbara,2020-03-31,88
California,Santa Clara,2020-03-31,887
California,Santa Cruz,2020-03-31,45
California,Shasta,2020-03-31,6
California,Sierra,2020-03-31,0
California,Siskiyou,2020-03-31,3
California,Solano,2020-03-31,43
California,Sonoma,2020-03-31,73
California,Stanislaus,2020-03-31,33
California,Sutter,2020-03-31,9
California,Tehama,2020-03-31,0
California,Trinity,2020-03-31,0
California,Tulare,2020-03-31,43
California,Tuolumne,2020-03-31,2
California,Unassigned,2020-03-31,0
California,Ventura,2020-03-31,149
California,Yolo,2020-03-31,24
California,Yuba,2020-03-31,6
Florida,Alachua,2020-03-31,87
Florida,Baker,2020-03-31,9
Florida,Bay,2020-03-31,8
Florida,Bradford,2020-03-31,2
Florida,Brevard,2020-03-31,37
Florida,Broward,2020-03-31,1219
Florida,Calhoun,2020-03-31,1
Florida,Charlotte,2020-03-31,24
Florida,Citrus,2020-03-31,19
Florida,Clay,2020-03-31,41
Florida,Collier,2020-03-31,146
Florida,Columbia,2020-03-31,3
Florida,DeSoto,2020-03-31,7
Florida,Dixie,2020-03-31,0
Florida,Duval,2020-03-31,207
Florida,Escambia,2020-03-31,94
Florida,Flagler,2020-03-31,18
Florida,Franklin,2020-03-31,0
Florida,Gadsden,2020-03-31,1
Florida,Gilchrist,2020-03-31,0
Florida,Glades,2020-03-31,3
Florida,Gulf,2020-03-31,0
Florida,Hamilton,2020-03-31,0
Florida,Hardee,2020-03-31,0
Florida,Hendry,2020-03-31,4
Florida,Hernando,2020-03-31,24
Florida,Highlands,2020-03-31,17
Florida,Hillsborough,2020-03-31,305
Florida,Holmes,2020-03-31,1
Florida,Indian River,2020-03-31,33
Florida,Jackson,2020-03-31,2
Florida,Jefferson,2020-03-31,0
Florida,Lafayette,2020-03-31,0
Florida,Lake,2020-03-31,66
Florida,Lee,2020-03-31,206
Florida,Leon,2020-03-31,26
Florida,Levy,2020-03-31,2
Florida,Liberty,2020-03-31,0
Florida,Madison,2020-03-31,0
Florida,Manatee,2020-03-31,53
Florida,Marion,2020-03-31,25
Florida,Martin,2020-03-31,28
Florida,Miami-Dade,2020-03-31,2123
Florida,Monroe,2020-03-31,27
Florida,Nassau,2020-03-31,10
Florida,Okaloosa,2020-03-31,39
Florida,Okeechobee,2020-03-31,0
Florida,Orange,2020-03-31,373
Florida,Osceola,2020-03-31,110
Florida,Out of FL,2020-03-31,0
Florida,Palm Beach,2020-03-31,551
Florida,Pasco,2020-03-31,40
Florida,Pinellas,2020-03-31,167
Florida,Polk,2020-03-31,73
Florida,Putnam,2020-03-31,13
Florida,Santa Rosa,2020-03-31,44
Florida,Sarasota,2020-03-31,76
Florida,Seminole,2020-03-31,103
Florida,St. Johns,2020-03-31,79
Florida,St. Lucie,2020-03-31,38
Florida,Sumter,2020-03-31,51
Florida,Suwannee,2020-03-31,3
Florida,Taylor,2020-03-31,0
Florida,Unassigned,2020-03-31,2
Florida,Union,2020-03-31,1
Florida,Volusia,2020-03-31,80
Florida,Wakulla,2020-03-31,1
Florida,Walton,2020-03-31,18
Florida,Washington,2020-03-31,1
California,Alameda,2020-04-30,1290
California,Alpine,2020-04-30,2
California,Amador,2020-04-30,6
California,Butte,2020-04-30,8
California,Calaveras,2020-04-30,10
California,Colusa,2020-04-30,2
California,Contra Costa,2020-04-30,679
California,Del Norte,2020-04-30,3
California,El Dorado,2020-04-30,29
California,Fresno,2020-04-30,485
California,Glenn,2020-04-30,3
California,Humboldt,2020-04-30,33
California,Imperial,2020-04-30,286
California,Inyo,2020-04-30,11
California,Kern,2020-04-30,810
California,Kings,2020-04-30,93
California,Lake,2020-04-30,6
California,Lassen,2020-04-30,0
California,Los Angeles,2020-04-30,20201
California,Madera,2020-04-30,25
California,Marin,2020-04-30,136
California,Mariposa,2020-04-30,3
California,Mendocino,2020-04-30,8
California,Merced,2020-04-30,115
California,Modoc,2020-04-30,0
California,Mono,2020-04-30,13
California,Monterey,2020-04-30,166
California,Napa,2020-04-30,53
California,Nevada,2020-04-30,20
California,Orange,2020-04-30,1891
California,Out of CA,2020-04-30,0
California,Placer,2020-04-30,90
California,Plumas,2020-04-30,4
California,Riverside,2020-04-30,3660
California,Sacramento,2020-04-30,853
California,San Benito,2020-04-30,33
California,San Bernardino,2020-04-30,1933
California,San Diego,2020-04-30,2829
California,San Francisco,2020-04-30,1102
California,San Joaquin,2020-04-30,407
California,San Luis Obispo,2020-04-30,104
California,San Mateo,2020-04-30,868
California,Santa Barbara,2020-04-30,397
California,Santa Clara,2020-04-30,1273
California,Santa Cruz,2020-04-30,86
California,Shasta,2020-04-30,25
California,Sierra,2020-04-30,0
California,Siskiyou,2020-04-30,2
California,Solano,2020-04-30,220
California,Sonoma,2020-04-30,159
California,Stanislaus,2020-04-30,306
California,Sutter,2020-04-30,21
California,Tehama,2020-04-30,1
California,Trinity,2020-04-30,0
California,Tulare,2020-04-30,597
California,Tuolumne,2020-04-30,2
California,Unassigned,2020-04-30,0
California,Ventura,2020-04-30,386
California,Yolo,2020-04-30,140
California,Yuba,2020-04-30,12
Florida,Alachua,2020-04-30,180
Florida,Baker,2020-04-30,11
Florida,Bay,2020-04-30,64
Florida,Bradford,2020-04-30,44
Florida,Brevard,2020-04-30,248
Florida,Broward,2020-04-30,3734
Florida,Calhoun,2020-04-30,7
Florida,Charlotte,2020-04-30,212
Florida,Citrus,2020-04-30,80
Florida,Clay,2020-04-30,232
Florida,Collier,2020-04-30,450
Florida,Columbia,2020-04-30,55
Florida,DeSoto,2020-04-30,22
Florida,Dixie,2020-04-30,7
Florida,Duval,2020-04-30,805
Florida,Escambia,2020-04-30,412
Florida,Flagler,2020-04-30,115
Florida,Franklin,2020-04-30,2
Florida,Gadsden,2020-04-30,94
Florida,Gilchrist,2020-04-30,5
Florida,Glades,2020-04-30,3
Florida,Gulf,2020-04-30,1
Florida,Hamilton,2020-04-30,6
Florida,Hardee,2020-04-30,18
Florida,Hendry,2020-04-30,79
Florida,Hernando,2020-04-30,66
Florida,Highlands,2020-04-30,64
Florida,Hillsborough,2020-04-30,819
Florida,Holmes,2020-04-30,9
Florida,Indian River,2020-04-30,57
Florida,Jackson,2020-04-30,12
Florida,Jefferson,2020-04-30,28
Florida,Lafayette,2020-04-30,1
Florida,Lake,2020-04-30,161
Florida,Lee,2020-04-30,815
Florida,Leon,2020-04-30,193
Florida,Levy,2020-04-30,17
Florida,Liberty,2020-04-30,3
Florida,Madison,2020-04-30,55
Florida,Manatee,2020-04-30,527
Florida,Marion,2020-04-30,150
Florida,Martin,2020-04-30,163
Florida,Miami-Dade,2020-04-30,9940
Florida,Monroe,2020-04-30,52
Florida,Nassau,2020-04-30,46
Florida,Okaloosa,2020-04-30,115
Florida,Okeechobee,2020-04-30,11
Florida,Orange,2020-04-30,1012
Florida,Osceola,2020-04-30,368
Florida,Out of FL,2020-04-30,0
Florida,Palm Beach,2020-04-30,2412
Florida,Pasco,2020-04-30,209
Florida,Pinellas,2020-04-30,562
Florida,Polk,2020-04-30,410
Florida,Putnam,2020-04-30,93
Florida,Santa Rosa,2020-04-30,110
Florida,Sarasota,2020-04-30,276
Florida,Seminole,2020-04-30,276
Florida,St. Johns,2020-04-30,129
Florida,St. Lucie,2020-04-30,209
Florida,Sumter,2020-04-30,130
Florida,Suwannee,2020-04-30,127
Florida,Taylor,2020-04-30,3
Florida,Unassigned,2020-04-30,5
Florida,Union,2020-04-30,3
Florida,Volusia,2020-04-30,372
Florida,Wakulla,2020-04-30,22
Florida,Walton,2020-04-30,20
Florida,Washington,2020-04-30,11
California,Alameda,2020-05-31,1787
California,Alpine,2020-05-31,0
California,Amador,2020-05-31,11
California,Butte,2020-05-31,28
California,Calaveras,2020-05-31,2
California,Colusa,2020-05-31,2
California,Contra Costa,2020-05-31,559
California,Del Norte,2020-05-31,42
California,El Dorado,2020-05-31,46
California,Fresno,2020-05-31,1205
California,Glenn,2020-05-31,11
California,Humboldt,2020-05-31,47
California,Imperial,2020-05-31,1315
California,Inyo,2020-05-31,1
California,Kern,2020-05-31,1357
California,Kings,2020-05-31,650
California,Lake,2020-05-31,15
California,Lassen,2020-05-31,5
California,Los Angeles,2020-05-31,31781
California,Madera,2020-05-31,60
California,Marin,2020-05-31,248
California,Mariposa,2020-05-31,13
California,Mendocino,2020-05-31,18
California,Merced,2020-05-31,158
California,Modoc,2020-05-31,0
California,Mono,2020-05-31,11
California,Monterey,2020-05-31,324
California,Napa,2020-05-31,45
California,Nevada,2020-05-31,0
California,Orange,2020-05-31,3868
California,Out of CA,2020-05-31,0
California,Placer,2020-05-31,68
California,Plumas,2020-05-31,0
California,Riverside,2020-05-31,3455
California,Sacramento,2020-05-31,323
California,San Benito,2020-05-31,37
California,San Bernardino,2020-05-31,3188
California,San Diego,2020-05-31,4049
California,San Francisco,2020-05-31,1089
California,San Joaquin,2020-05-31,315
California,San Luis Obispo,2020-05-31,85
California,San Mateo,2020-05-31,927
California,Santa Barbara,2020-05-31,1164
California,Santa Clara,2020-05-31,613
California,Santa Cruz,2020-05-31,82
California,Shasta,2020-05-31,8
California,Sierra,2020-05-31,1
California,Siskiyou,2020-05-31,2
California,Solano,2020-05-31,254
California,Sonoma,2020-05-31,321
California,Stanislaus,2020-05-31,405
California,Sutter,2020-05-31,16
California,Tehama,2020-05-31,3
California,Trinity,2020-05-31,1
California,Tulare,2020-05-31,1204
California,Tuolumne,2020-05-31,0
California,Unassigned,2020-05-31,0
California,Ventura,2020-05-31,543
California,Yolo,2020-05-31,47
California,Yuba,2020-05-31,12
Florida,Alachua,2020-05-31,113
Florida,Baker,2020-05-31,9
Florida,Bay,2020-05-31,26
Florida,Bradford,2020-05-31,5
Florida,Brevard,2020-05-31,137
Florida,Broward,2020-05-31,2170
Florida,Calhoun,2020-05-31,55
Florida,Charlotte,2020-05-31,222
Florida,Citrus,2020-05-31,22
Florida,Clay,2020-05-31,109
Florida,Collier,2020-05-31,943
Florida,Columbia,2020-05-31,86
Florida,DeSoto,2020-05-31,153
Florida,Dixie,2020-05-31,44
Florida,Duval,2020-05-31,632
Florida,Escambia,2020-05-31,309
Florida,Flagler,2020-05-31,56
Florida,Franklin,2020-05-31,0
Florida,Gadsden,2020-05-31,178
Florida,Gilchrist,2020-05-31,7
Florida,Glades,2020-05-31,24
Florida,Gulf,2020-05-31,0
Florida,Hamilton,2020-05-31,227
Florida,Hardee,2020-05-31,81
Florida,Hendry,2020-05-31,332
Florida,Hernando,2020-05-31,25
Florida,Highlands,2020-05-31,48
Florida,Hillsborough,2020-05-31,1077
Florida,Holmes,2020-05-31,9
Florida,Indian River,2020-05-31,40
Florida,Jackson,2020-05-31,237
Florida,Jefferson,2020-05-31,1
Florida,Lafayette,2020-05-31,7
Florida,Lake,2020-05-31,74
Florida,Lee,2020-05-31,887
Florida,Leon,2020-05-31,185
Florida,Levy,2020-05-31,13
Florida,Liberty,2020-05-31,210
Florida,Madison,2020-05-31,14
Florida,Manatee,2020-05-31,465
Florida,Marion,2020-05-31,73
Florida,Martin,2020-05-31,460
Florida,Miami-Dade,2020-05-31,5937
Florida,Monroe,2020-05-31,29
Florida,Nassau,2020-05-31,20
Florida,Okaloosa,2020-05-31,69
Florida,Okeechobee,2020-05-31,72
Florida,Orange,2020-05-31,617
Florida,Osceola,2020-05-31,223
Florida,Out of FL,2020-05-31,0
Florida,Palm Beach,2020-05-31,3033
Florida,Pasco,2020-05-31,137
Florida,Pinellas,2020-05-31,568
Florida,Polk,2020-05-31,544
Florida,Putnam,2020-05-31,46
Florida,Santa Rosa,2020-05-31,91
Florida,Sarasota,2020-05-31,283
Florida,Seminole,2020-05-31,111
Florida,St. Johns,2020-05-31,52
Florida,St. Lucie,2020-05-31,224
Florida,Sumter,2020-05-31,72
Florida,Suwannee,2020-05-31,37
Florida,Taylor,2020-05-31,19
Florida,Unassigned,2020-05-31,77
Florida,Union,2020-05-31,28
Florida,Volusia,2020-05-31,284
Florida,Wakulla,2020-05-31,11
Florida,Walton,2020-05-31,79
Florida,Washington,2020-05-31,45
California,Alameda,2020-06-30,2574
California,Alpine,2020-06-30,0
California,Amador,2020-06-30,3
California,Butte,2020-06-30,124
California,Calaveras,2020-06-30,17
California,Colusa,2020-06-30,41
California,Contra Costa,2020-06-30,1682
California,Del Norte,2020-06-30,5
California,El Dorado,2020-06-30,88
California,Fresno,2020-06-30,3068
California,Glenn,2020-06-30,87
California,Humboldt,2020-06-30,32
California,Imperial,2020-06-30,4608
California,Inyo,2020-06-30,11
California,Kern,2020-06-30,2405
California,Kings,2020-06-30,1648
California,Lake,2020-06-30,39
California,Lassen,2020-06-30,224
California,Los Angeles,2020-06-30,48849
California,Madera,2020-06-30,382
California,Marin,2020-06-30,1727
California,Mariposa,2020-06-30,10
California,Mendocino,2020-06-30,48
California,Merced,2020-06-30,696
California,Modoc,2020-06-30,0
California,Mono,2020-06-30,5
California,Monterey,2020-06-30,1112
California,Napa,2020-06-30,205
California,Nevada,2020-06-30,72
California,Orange,2020-06-30,7582
California,Out of CA,2020-06-30,0
California,Placer,2020-06-30,469
California,Plumas,2020-06-30,5
California,Riverside,2020-06-30,9810
California,Sacramento,2020-06-30,1823
California,San Benito,2020-06-30,126
California,San Bernardino,2020-06-30,7304
California,San Diego,2020-06-30,6668
California,San Francisco,2020-06-30,1015
California,San Joaquin,2020-06-30,2998
California,San Luis Obispo,2020-06-30,342
California,San Mateo,2020-06-30,1128
California,Santa Barbara,2020-06-30,1247
California,Santa Clara,2020-06-30,1594
California,Santa Cruz,2020-06-30,166
California,Shasta,2020-06-30,73
California,Sierra,2020-06-30,0
California,Siskiyou,2020-06-30,21
California,Solano,2020-06-30,609
California,Sonoma,2020-06-30,583
California,Stanislaus,2020-06-30,1421
California,Sutter,2020-06-30,130
California,Tehama,2020-06-30,71
California,Trinity,2020-06-30,1
California,Tulare,2020-06-30,2312
California,Tuolumne,2020-06-30,24
California,Unassigned,2020-06-30,0
California,Ventura,2020-06-30,1848
California,Yolo,2020-06-30,294
California,Yuba,2020-06-30,41
Florida,Alachua,2020-06-30,817
Florida,Baker,2020-06-30,34
Florida,Bay,2020-06-30,286
Florida,Bradford,2020-06-30,32
Florida,Brevard,2020-06-30,1371
Florida,Broward,2020-06-30,8501
Florida,Calhoun,2020-06-30,13
Florida,Charlotte,2020-06-30,317
Florida,Citrus,2020-06-30,170
Florida,Clay,2020-06-30,331
Florida,Collier,2020-06-30,2686
Florida,Columbia,2020-06-30,143
Florida,DeSoto,2020-06-30,422
Florida,Dixie,2020-06-30,17
Florida,Duval,2020-06-30,4563
Florida,Escambia,2020-06-30,1137
Florida,Flagler,2020-06-30,121
